naziv,adresa,gradovi,zupanija,drzave,brojzvjezdica,googlerating,bookingrating,trivagorating,weburl,telefon,email
Admiral Hotel,Rudeška cesta 140,Zagreb,Grad Zagreb,Republika Hrvatska,4,4.6,9.3,8.9,https://www.admiralhotel.hr/,013322901,info@admiralhotel.hr
Double Tree by Hilton,Ulica grada Vukovara 269A,Zagreb,Grad Zagreb,Republika Hrvatska,5,4.6,8.8,8.9,https://www.hilton.com/en/hotels/zagcrdi-doubletree-zagreb/,016001900,
Esplanade,Ulica Antuna Mihanovića 1,Zagreb,Grad Zagreb,Republika Hrvatska,5,4.7,9.2,9.2,https://www.esplanade.hr/,014566666,info@esplanade.hr
Garden Hotel,Vodnikova ulica 13,Zagreb,Grad Zagreb,Republika Hrvatska,4,4,8,7.9,http://www.gardenhotel.hr/,014843720,info@gardenhotel.hr
Hotel Academia,Ulica Ivana Tkalčića 88,Zagreb,Grad Zagreb,Republika Hrvatska,4,4.5,8.9,8.5,https://www.hotelacademia.hr/,014550046,recepcija@hotelacademia.hr
Hotel Antunović,Zagrebačka avenija 100,Zagreb,Grad Zagreb,Republika Hrvatska,4,4.5,9.1,8.6,https://antunovic.hr/,012041200,rezervacije@antunovic.hr
Hotel Aristos,Cebini ulica 33,Zagreb,Grad Zagreb,Republika Hrvatska,4,4.1,8.4,8.1,https://www.hotel-aristos.hr/,016695900,aristos@hotel-aristos.hr
Hotel Calypso,Hojnikova ulica 43,Zagreb,Grad Zagreb,Republika Hrvatska,3,4.5,8.9,8.8,https://www.hotel-aristos.hr/,016530000,calypso@hotel-calypso.hr
Hotel Dubrovnik,Ulica Ljudevita Gaja 1,Zagreb,Grad Zagreb,Republika Hrvatska,4,4.5,8.9,8.5,https://www.hotel-dubrovnik.hr/,014863555,info@hotel-dubrovnik.hr
Hotel Jadran,Vlaška ulica 50,Zagreb,Grad Zagreb,Republika Hrvatska,3,4.1,8.5,9,,014553777,
Hotel International,Miramarska cesta 24,Zagreb,Grad Zagreb,Republika Hrvatska,4,4.5,8.8,8.5,,016108800,
Hotel Jägerhorn,Ilica 14,Zagreb,Grad Zagreb,Republika Hrvatska,3,4.7,9,8.9,https://www.hotel-jagerhorn.hr/,014833877,info@hotel-jagerhorn.hr
Hotel Le Premier,Ulica kralja Držislava 5,Zagreb,Grad Zagreb,Republika Hrvatska,5,4.6,9.1,8.8,https://www.lepremier.hr/,014400880,info@lepremier.hr
Hotel Meridijan16,Ulica grada Vukovara 241,Zagreb,Grad Zagreb,Republika Hrvatska,3,4.1,8.3,8.2,https://www.meridijan16.com/hr/,016065200,desk@meridijan16.com
Orient Express,Trnjanska cesta 11E,Zagreb,Grad Zagreb,Republika Hrvatska,3,4.3,8.5,8.3,https://www.hotelorientexpress.com/,014954210,info@hotelorientexpress.com
Sheraton,Ulica kneza Borne 2,Zagreb,Grad Zagreb,Republika Hrvatska,5,4.5,8.7,8.2,,014553535,
The Westin Zagreb,Ulica Izidora Kršnjavog 1,Zagreb,Grad Zagreb,Republika Hrvatska,5,4.4,8.4,8.2,,014892000,westin.zagreb@westin.com
